Model,Accuracy,Precision,Recall,F1,CV Score
Logistic Regression,0.9895,0.989535221760615,0.9895,0.9894765699571869,0.9897500000000001
Decision Tree,0.9995,0.999501547987616,0.9995,0.9995002916276094,0.9998750000000001
Random Forest,0.9985,0.9985138461538461,0.9985,0.9985026132016263,0.999125
SVM (RBF),0.938,0.9430987130905455,0.938,0.9343440480153046,0.939125
KNN (K=13),0.7955,0.764227245848612,0.7955,0.7723968890865491,0.813875
